group,nearest_neighbor_similarity,covered_tau_065,x,y
children_direct,0.5846045017242432,False,17.958471,-1.2132965
children_direct,0.594328761100769,False,16.37921,2.6986036
children_direct,0.4917759895324707,False,15.076813,11.417353
children_direct,0.5105960965156555,False,18.784063,0.3406848
children_direct,0.45426249504089355,False,20.016523,0.12685
children_direct,0.4415578842163086,False,25.158337,-2.3184779
children_direct,0.5012167096138,False,20.365126,-11.745075
children_direct,0.48315921425819397,False,28.591545,-9.015248
children_direct,0.4244852066040039,False,19.318403,-15.151961
children_direct,0.5353661775588989,False,18.315077,-15.206027
children_direct,0.5612297058105469,False,5.3185706,-3.8169415
children_direct,0.5354866981506348,False,5.4577513,-12.462818
children_direct,0.44437119364738464,False,36.001644,-10.832116
children_direct,0.6647417545318604,True,14.692875,5.324022
children_direct,0.4860900938510895,False,19.018848,7.1182346
children_direct,0.6938099265098572,True,14.235633,5.740678
children_direct,0.48810985684394836,False,31.841864,2.175712
children_direct,0.3749341666698456,False,28.696579,-8.61113
children_direct,0.4529842138290405,False,18.93421,-6.6525044
children_direct,0.40482622385025024,False,28.777843,1.5209837
children_direct,0.4484161138534546,False,3.7471712,17.826206
children_direct,0.6404320001602173,False,16.274738,5.161275
children_direct,0.4922516942024231,False,14.282898,-0.15002051
children_direct,0.547600507736206,False,15.210714,7.4934587
children_direct,0.39803779125213623,False,24.53111,0.49776056
children_direct,0.5629826188087463,False,2.1021488,12.181148
children_direct,0.5605140328407288,False,3.9698906,10.49344
children_direct,0.629964292049408,False,3.4896529,9.345819
children_direct,0.45891764760017395,False,29.99142,2.9870431
children_direct,0.6803076863288879,True,9.457072,-10.205421
children_direct,0.7160337567329407,True,0.27540994,13.297218
children_direct,0.5836679935455322,False,14.492418,1.3035789
children_direct,0.6443545818328857,False,14.147294,2.060252
children_direct,0.5421391129493713,False,30.914873,8.235872
children_direct,0.5209768414497375,False,1.401936,-14.170501
children_direct,0.38978472352027893,False,37.16361,-4.8351374
children_direct,0.4171141982078552,False,35.720837,-5.4415393
children_direct,0.4592200517654419,False,38.905117,4.5038333
children_direct,0.4503726363182068,False,34.810455,-4.025721
children_direct,0.6545236110687256,True,6.5147314,9.799086
children_direct,0.7086727023124695,True,12.082043,14.1884165
children_direct,0.469215452671051,False,14.367242,15.86732
children_direct,0.6717039346694946,True,13.752466,8.671556
children_direct,0.5156773924827576,False,14.533749,9.555628
children_direct,0.6653555035591125,True,13.330131,14.319312
children_direct,0.44633352756500244,False,33.74455,-1.5567851
children_direct,0.659912645816803,True,12.3510275,13.316089
children_direct,0.5356268286705017,False,17.446182,-4.599252
children_direct,0.37211349606513977,False,31.663836,-3.3178425
children_direct,0.5493319630622864,False,17.528173,-14.939117
children_direct,0.4611331522464752,False,18.703268,-11.265822
children_direct,0.5013394355773926,False,23.639545,3.9196439
children_direct,0.4786475598812103,False,22.186924,-3.8331587
children_direct,0.4230996370315552,False,28.257153,-1.3163979
children_direct,0.33952412009239197,False,42.198963,-4.038127
children_direct,0.5965370535850525,False,24.646578,9.081544
children_direct,0.6542714834213257,True,2.0121431,-6.380598
children_direct,0.4009370803833008,False,31.960802,5.7961755
children_direct,0.5881826281547546,False,16.552313,-15.305269
children_direct,0.46948474645614624,False,34.467365,-6.092146
children_direct,0.5759537220001221,False,1.2798588,-14.294618
children_direct,0.5593743324279785,False,11.989947,-17.692347
children_direct,0.6565783023834229,True,9.214355,11.068322
children_direct,0.7357807755470276,True,-3.848359,-5.8087397
children_direct,0.4845392405986786,False,-1.867296,-7.0572143
children_direct,0.5761610269546509,False,-1.4876755,-5.822617
children_direct,0.5705373287200928,False,8.111809,2.7223208
children_direct,0.4578477144241333,False,31.063744,8.204223
children_direct,0.6060361266136169,False,10.174593,-10.739566
children_direct,0.6159831285476685,False,6.299912,-11.634722
children_direct,0.5585005283355713,False,25.34901,-11.920612
children_direct,0.5493460893630981,False,25.997316,-12.937261
children_direct,0.47902005910873413,False,35.513493,0.14445193
children_direct,0.42286795377731323,False,11.627848,1.4142305
children_direct,0.47528278827667236,False,32.7306,-6.350262
children_direct,0.6422309279441833,False,21.702255,-16.459146
children_direct,0.6743065118789673,True,11.169213,7.7776003
children_direct,0.6940391063690186,True,1.2790604,-2.1664083
children_direct,0.44053515791893005,False,27.88067,1.9645548
children_direct,0.6863147616386414,True,-0.66973734,-3.8592913
children_direct,0.7004656195640564,True,5.7264013,10.984047
children_direct,0.7127968072891235,True,3.426862,8.120337
children_direct,0.5134194493293762,False,29.623472,-0.29371756
children_direct,0.6070682406425476,False,4.0099654,6.324952
children_direct,0.6851263046264648,True,2.4486387,-4.4661627
children_direct,0.626352071762085,False,36.74877,-1.6217604
children_direct,0.49692031741142273,False,23.745031,3.8734589
children_direct,0.4142662286758423,False,23.51859,-2.1856594
children_direct,0.6787330508232117,True,3.7333896,-1.3719014
children_direct,0.5629817843437195,False,18.510029,-9.818192
children_direct,0.5294032096862793,False,4.380175,3.7619076
children_direct,0.7035928964614868,True,3.0798156,-4.824011
children_direct,0.4095824062824249,False,27.676764,2.8383417
children_direct,0.7259656190872192,True,-4.2190824,1.1500165
children_direct,0.6527597308158875,True,5.498945,-1.4937738
children_direct,0.5847084522247314,False,13.45879,-0.48695084
children_direct,0.5146520137786865,False,21.426134,1.3820006
children_direct,0.4656313955783844,False,19.916494,2.9399016
children_direct,0.6212471127510071,False,19.551228,-17.912342
children_direct,0.5392305850982666,False,19.020927,-13.005424
children_direct,0.7138298749923706,True,-5.0636926,-6.886063
children_direct,0.6075374484062195,False,0.5702766,14.229013
children_direct,0.49447762966156006,False,21.513346,1.5585546
children_direct,0.6963969469070435,True,0.21140093,14.238082
children_direct,0.597412109375,False,1.2928517,4.992394
children_direct,0.47732821106910706,False,32.393166,-0.7061878
children_direct,0.5970486402511597,False,0.237131,3.8726647
children_direct,0.44316229224205017,False,-2.4118705,2.5759215
children_direct,0.36171719431877136,False,40.414078,-4.4280114
children_direct,0.6364066004753113,False,1.46735,5.382998
children_direct,0.4430987536907196,False,34.893005,-5.795165
children_direct,0.6299790740013123,False,10.967214,-8.369027
children_direct,0.5079406499862671,False,11.599216,-7.848708
children_direct,0.6955003142356873,True,-0.30293357,7.549154
children_direct,0.5324147343635559,False,22.754461,-11.315784
children_direct,0.664726972579956,True,2.8230162,-3.003192
children_direct,0.3306337594985962,False,27.267414,-1.8227581
children_direct,0.5501331090927124,False,7.68019,-8.912949
children_direct,0.6518274545669556,True,7.8139033,-11.365208
children_direct,0.5451029539108276,False,15.828548,-2.5330024
children_direct,0.5616962909698486,False,24.677935,-13.559153
children_direct,0.4699251651763916,False,31.569761,-7.8187494
children_direct,0.5967735648155212,False,-6.0650525,3.4778888
children_direct,0.6178329586982727,False,-6.0715437,0.41730022
children_direct,0.5506563782691956,False,11.022078,-0.99486774
children_direct,0.6260176301002502,False,5.0914245,-11.285274
children_direct,0.4598376154899597,False,-6.9984865,-3.3941684
children_direct,0.5439038872718811,False,-7.0173087,-3.4951177
children_direct,0.6505247950553894,True,4.086908,-8.094717
children_direct,0.6425963044166565,False,-6.569767,1.9940315
children_direct,0.5229120850563049,False,-8.005629,1.1136998
children_direct,0.5363819003105164,False,18.007725,13.702765
children_direct,0.5337698459625244,False,16.221746,-1.9632627
children_direct,0.43601691722869873,False,18.299269,12.979881
children_direct,0.4462573230266571,False,31.48865,-1.3221514
children_direct,0.7521249055862427,True,0.7332454,7.584511
children_direct,0.5849334001541138,False,21.574396,-16.522518
children_direct,0.5990490913391113,False,19.374296,-19.256037
children_direct,0.4223179221153259,False,30.698275,-6.6425595
children_direct,0.5639712810516357,False,18.284672,-19.872261
children_direct,0.6533529162406921,True,16.65296,-20.498932
children_direct,0.7368326783180237,True,-4.891577,1.0817609
children_direct,0.7417877316474915,True,3.6476116,2.2382092
children_direct,0.6519728899002075,True,11.725806,3.735761
children_direct,0.7222313284873962,True,3.243628,1.9607905
children_direct,0.7297636270523071,True,1.9898707,2.5000117
children_direct,0.5743321180343628,False,4.870769,1.9956206
children_direct,0.7119264602661133,True,5.476163,-0.4662704
children_direct,0.5691227912902832,False,-1.3752997,7.1063843
children_direct,0.642469048500061,False,10.452435,-10.22074
children_direct,0.5078389048576355,False,31.008951,0.2511005
children_direct,0.6017289161682129,False,22.686888,-10.076953
children_direct,0.417387455701828,False,35.933735,3.687666
children_direct,0.6101385354995728,False,7.145837,10.615233
children_direct,0.6727554202079773,True,16.374199,-12.1137495
children_direct,0.5694262385368347,False,15.408102,-11.133403
children_direct,0.4788772761821747,False,26.391949,-19.045153
children_direct,0.5838706493377686,False,24.949919,-19.066006
children_direct,0.5694343447685242,False,27.949821,-10.142195
children_direct,0.6336177587509155,False,3.4848473,-7.065936
children_direct,0.343656986951828,False,23.524471,-5.464651
children_direct,0.35845261812210083,False,30.929068,-13.307988
children_direct,0.47536036372184753,False,31.435314,-14.708281
children_direct,0.4018961787223816,False,16.0012,-8.011116
children_direct,0.41880252957344055,False,30.718859,-13.092726
children_direct,0.4661247134208679,False,31.713923,-15.481658
children_direct,0.5716120600700378,False,24.733994,-17.835844
children_direct,0.40003979206085205,False,27.402647,-19.613346
children_direct,0.4618508517742157,False,27.784256,-16.718126
children_direct,0.7165839672088623,True,3.5593736,8.355023
children_direct,0.5636230111122131,False,18.060364,-3.6324806
children_direct,0.45547839999198914,False,20.852154,-5.492687
children_direct,0.4955296814441681,False,25.793968,-19.178759
children_direct,0.4381818175315857,False,26.498297,-5.540627
children_direct,0.4722590446472168,False,26.536806,-20.427132
children_direct,0.722445547580719,True,12.427185,6.9923434
children_direct,0.6630483269691467,True,5.5741687,8.7228365
children_direct,0.5607395172119141,False,14.210642,-12.552447
children_direct,0.3818012773990631,False,27.816633,-6.266656
children_direct,0.5027474761009216,False,14.805355,-8.880683
children_direct,0.4249863028526306,False,30.509077,-12.473203
children_direct,0.4077407717704773,False,15.308902,-8.4010935
children_direct,0.5799263119697571,False,13.500145,-13.231321
children_direct,0.5889027118682861,False,13.406059,-14.034926
children_direct,0.4922178387641907,False,20.642208,-8.716799
children_direct,0.5288629531860352,False,22.900782,-9.8850565
children_direct,0.5451880097389221,False,20.168169,-8.445913
children_direct,0.5159912705421448,False,24.81974,-7.662154
children_direct,0.636588990688324,False,24.281645,-19.314936
children_direct,0.5540933012962341,False,12.315333,-12.592193
children_direct,0.49722594022750854,False,33.016056,4.572894
children_direct,0.6643332839012146,True,11.980059,7.5784154
children_direct,0.5635916590690613,False,20.949076,12.668045
children_direct,0.5050927996635437,False,39.01157,2.836429
children_direct,0.5157021880149841,False,38.224964,-0.89612097
children_direct,0.4839285910129547,False,20.017605,-7.7220087
children_direct,0.5171962976455688,False,21.45138,-5.733726
children_direct,0.6368675827980042,False,5.5752497,-16.14864
children_direct,0.49994027614593506,False,28.936802,-4.343417
children_direct,0.5851315855979919,False,6.3350067,9.02561
children_direct,0.3824474811553955,False,30.374098,13.917031
children_direct,0.540267825126648,False,15.199297,-18.49007
children_direct,0.4131193161010742,False,39.41841,-4.618395
children_direct,0.5185022354125977,False,39.287724,-5.259186
children_direct,0.5036652684211731,False,32.340435,3.270995
children_direct,0.4938231110572815,False,20.237282,6.6981726
children_direct,0.6222848892211914,False,12.723202,14.57106
children_direct,0.3588840663433075,False,41.79019,-1.9839567
children_direct,0.47192126512527466,False,0.8838847,-15.600084
children_direct,0.5710424184799194,False,27.418613,-17.35065
children_direct,0.3980826735496521,False,29.576933,14.855645
children_direct,0.4422513544559479,False,29.469421,14.982373
children_direct,0.48577168583869934,False,14.1762705,15.151828
children_direct,0.45194342732429504,False,13.238256,9.633803
children_direct,0.4538871645927429,False,30.56612,1.4134054
children_direct,0.39996466040611267,False,24.038965,-3.8693614
children_direct,0.47378459572792053,False,29.731047,3.422157
children_direct,0.6798941493034363,True,5.538303,-6.429306
children_direct,0.5629163980484009,False,6.005865,-6.102952
children_direct,0.5610447525978088,False,13.687158,-4.791089
children_direct,0.575643002986908,False,9.1561,-5.997562
children_direct,0.5364550948143005,False,2.2229357,14.719317
children_direct,0.45008915662765503,False,25.034431,8.683745
children_direct,0.7757063508033752,True,0.16536035,-0.27076292
children_direct,0.5016658902168274,False,20.26504,-14.775053
children_direct,0.6422522664070129,False,15.5690365,-19.276241
children_direct,0.6460208892822266,False,4.331793,-15.378579
children_direct,0.6119503974914551,False,3.7405696,-10.097537
children_direct,0.5689705014228821,False,12.089838,-10.072027
ai_combined,0.7160337567329407,True,-26.939531,10.054526
ai_combined,0.7127770185470581,True,-26.02204,17.30171
ai_combined,0.6803076863288879,True,-16.698994,16.559326
ai_combined,0.7064818143844604,True,-24.711658,2.220231
ai_combined,0.7288446426391602,True,-25.833164,10.916721
ai_combined,0.6665694117546082,True,-28.994461,-7.252164
ai_combined,0.6567044854164124,True,-26.764174,-17.460392
ai_combined,0.6208110451698303,False,-40.18174,-6.09285
ai_combined,0.6442847847938538,False,-27.25108,-6.1198
ai_combined,0.6741399765014648,True,-28.949211,-0.9601637
ai_combined,0.6307252645492554,False,-26.287415,14.148183
ai_combined,0.6515910625457764,True,-22.382404,-13.923337
ai_combined,0.6862939596176147,True,-18.133541,-6.8116055
ai_combined,0.6730449199676514,True,-26.979681,-18.12804
ai_combined,0.724273681640625,True,-25.866575,21.662409
ai_combined,0.6858396530151367,True,-18.204554,-4.1297283
ai_combined,0.7057213187217712,True,-18.371716,-5.1472316
ai_combined,0.773182213306427,True,-20.525675,-5.3307185
